 Round, Category, Value, Question, Answer
Double Jeopardy!,DR. SEUSS AT THE MULTIPLEX,"$1,200 ","<a href=""http://www.j-archive.com/media/2004-12-31_DJ_26.mp3"">Ripped from today's headlines, he was a turtle king gone mad; Mack was the one good turtle who'd bring him down</a>",Yertle
Double Jeopardy!,AIRLINE TRAVEL,"$2,000 ","In 2003 this airline agreed to buy KLM, creating Europe's largest airline",Air France
Double Jeopardy!,THAT OLD-TIME RELIGION,"$1,200 ",Philadelphia got its start as a colony for this religious group of which William Penn was a member,the Quakers
Double Jeopardy!,MUSICAL TRAINS,"$1,200 ","This ""Modern Girl"" first hit the Billboard Top 10 with ""Morning Train (Nine To Five)""",(Sheena) Easton
Double Jeopardy!,"""X""s & ""O""s","$1,200 ","This stiff silken fabric is favored for bridal gowns, like Christina Applegate's in 2001",organza
Double Jeopardy!,DR. SEUSS AT THE MULTIPLEX,"$1,600 ","<a href=""http://www.j-archive.com/media/2004-12-31_DJ_25.mp3"">Somewhere between truth & fiction lies Marco's reality... on Halloween, you won't believe you saw it on this St.</a>",Mulberry Street
Double Jeopardy!,AIRLINE TRAVEL,"$1,600 ",In 2004 United launched this new service that features low fares & more seats per plane,Ted
Double Jeopardy!,THAT OLD-TIME RELIGION,"$1,600 ",With Mary I's accession in 1553 he ran to Geneva; he returned in 1559 & reformed the Church of Scotland,(John) Knox
Double Jeopardy!,MUSICAL TRAINS,"$1,600 ","This band's ""Train In Vain"" was a hidden track on its original 1979 ""London Calling"" album",The Clash
Double Jeopardy!,"""X""s & ""O""s","$1,600 ","Cross-country skiing is sometimes referred to by these 2 letters, the same ones used to denote 90 in Roman numerals",XC
Double Jeopardy!,DR. SEUSS AT THE MULTIPLEX,"$2,000 ","<a href=""http://www.j-archive.com/media/2004-12-31_DJ_24.mp3"">""500 Hats""... 500 ways to die.  On July 4th, this young boy will defy a king... & become a legend</a>",Bartholomew Cubbins
Double Jeopardy!,AIRLINE TRAVEL,"$2,000 ","In the seat pocket you'll find the catalog called ""Sky"" this, with must-haves like a solar-powered patio umbrella",Mall
Double Jeopardy!,THAT OLD-TIME RELIGION,"$3,200 ",In 1534 he & his buddy Francis Xavier founded the Society of Jesus,(St. Ignatius) Loyola
Double Jeopardy!,MUSICAL TRAINS,"$2,000 ","In 1961 James Brown announced ""all aboard"" for this train","""Night Train"""
Double Jeopardy!,"""X""s & ""O""s","$2,000 ",This 1797 imbroglio began when 3 French agents demanded a huge bribe from U.S. diplomats,the XYZ Affair
Final Jeopardy!,THE SOLAR SYSTEM,None,Objects that pass closer to the sun than Mercury have been named for this mythological figure,Icarus
